symbol,name,exchange,quarter_end_date,sector,mkt_cap,industry,state,eps,previous_eps,eps_change,eps_binary,eps_change_binary,total_revenue,profit_margin,ebitda,operating_margin,current_ratio,debt_ratio,debt_equity,interest_cov,gross_margin,roa,roe,federal_funds_rate,fed_rate_change
ACLS,Axcelis Technologies Inc,"NASDAQ",2022-09-30,TECHNOLOGY,2587157000,"SPECIAL INDUSTRY MACHINERY, NEC",MA,1.21,1.32,0.1100000000000001,1,1,229175000,17.5774,20.36304,132.0706,372.923,5.15,7.59,3991.1,256.488,4.445,6.551,3.08,1.5
ACM,Aecom Technology Corporation,NYSE,2022-09-30,TRADE & SERVICES,11910035000,SERVICES-ENGINEERING SERVICES,CA,0.89,0.86,-0.030000000000000027,1,0,3426100000,3.08222,4.3694,174.24242,107.747,20.016,90.026,10823.5,205.777,0.948,4.264,3.08,1.5
ACMR,Acm Research Inc,"NASDAQ",2022-09-30,TECHNOLOGY,534548000,"SPECIAL INDUSTRY MACHINERY, NEC",CA,0.45,0.22,-0.23,1,0,133709000,15.70874,25.01103,150.61893,281.029,6.253,11.16,7550.4,314.069,1.83,3.266,3.08,1.5
ACNB,ACNB Corporation,"NASDAQ",2022-09-30,FINANCE,331737000,STATE COMMERCIAL BANKS,PA,1.2,0.99,-0.20999999999999996,1,0,32928000,31.35326,43.44631,144.34328,857.391,2.475,28.27,1728.8,170.554,0.389,4.443,3.08,1.5
ACOR,Acorda Therapeutics Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,14877700,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",NY,-0.57,-2.78,-2.21,0,0,26045000,-53.19255,10.43578,36.01126,170.602,47.717,247.722,-66.8,112.949,-3.522,-18.285,3.08,1.5
ACR,Acres Commercial Realty Corp,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,87148000,REAL ESTATE INVESTMENT TRUSTS,NY,0.4,0.45,0.04999999999999999,1,1,20936000,26.59534,136.2629,298.81466,1869.129,79.666,436.79,72.5,337.41,0.229,1.258,3.08,1.5
ACRE,Ares Commercial Real Estate,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,659300000,REAL ESTATE INVESTMENT TRUSTS,NY,0.01,0.2,0.19,1,1,27271000,2.36148,68.41333,2906.52174,29.917,80.814,287.319,101.9,3126.398,0.024,0.084,3.08,1.5
ACRS,Aclaris Therapeutics Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,1109608000,PHARMACEUTICAL PREPARATIONS,PA,-0.3,-0.31,-0.010000000000000009,0,0,19018000,-104.91114,-109.65927,104.62109,1296.544,0.286,0.348,-2087400000,-90.693,-7.455,-9.076,3.08,1.5
ACRX,AcelRx Pharmaceuticals Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,16686600,PHARMACEUTICAL PREPARATIONS,CA,-0.94,9.6,10.54,0,1,260000,-2596.15385,-2333.84615,98.25185,156.805,25.821,45.816,-2685,82.533,-13.972,-24.792,3.08,1.5
ACT,Enact Holdings Inc,"NASDAQ",2022-09-30,FINANCE,4030364000,"INSURANCE AGENTS, BROKERS & SERVICE",NC,1.17,1.25,0.08000000000000007,1,1,275075000,69.43052,93.61919,186.24035,74.418,12.969,18.028,2761.8,186.24,3.337,4.639,3.08,1.5
ACTG,Acacia Research Corporation,"NASDAQ",2022-09-30,REAL ESTATE & CONSTRUCTION,178080000,PATENT OWNERS & LESSORS,CA,-0.01,-0.6,-0.59,0,0,15878000,176.91145,206.83335,-40.45924,500.012,12.642,23.806,-1060.2,21.175,5.789,10.9,3.08,1.5
ACU,Acme United Corporation,NYSE MKT,2022-09-30,MANUFACTURING,84021000,"CUTLERY, HANDTOOLS & GENERAL HARDWARE",CT,0.02,0.71,0.69,1,1,49744000,0.12866,2.62544,1489.0625,471.833,0.223,0.493,132,24882.812,0.037,0.081,3.08,1.5
ACVA,ACV Auctions Inc,"NASDAQ",2022-09-30,TRADE & SERVICES,1374888000,"SERVICES-BUSINESS SERVICES, NEC",NY,-0.15,-0.16,-0.010000000000000009,0,0,105419000,-22.45136,-19.1142,106.00811,229.06,7.834,14.136,-10676.6,-286.099,-2.63,-4.746,3.08,1.5
ADC,Agree Realty Corporation,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,6286707000,REAL ESTATE INVESTMENT TRUSTS,MI,0.46,0.45,-0.010000000000000009,1,0,110065000,35.81974,83.99673,145.37476,12.853,58.343,84.118,334.2,172.266,0.601,0.867,3.08,1.5
ADEA,ADEIA CORP,"NASDAQ",2022-09-30,MANUFACTURING,1136738000,SEMICONDUCTORS & RELATED DEVICES,CA,0.31,0.52,0.21000000000000002,1,1,210941000,-184.3781,-158.34902,96.73128,245.775,36.489,79.449,-2850.6,77.768,-18,-39.191,3.08,1.5
ADES,Advanced Emissions Solutions Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,54084000,MISCELLANEOUS CHEMICAL PRODUCTS,CO,-0.13,-0.02,0.11,0,1,28354000,-8.43267,-2.2466,109.70305,447.073,2.649,3.445,-3160.2,-942.576,-1.289,-1.676,3.08,1.5
ADM,Archer-Daniels-Midland Company,NYSE,2022-09-30,MANUFACTURING,50379424000,FATS & OILS,IL,1.86,2.15,0.2899999999999998,1,1,24683000000,4.17696,6.40522,93.59845,150.719,0.31,0.754,994.8,175.655,1.768,4.296,3.08,1.5
ADMA,ADMA Biologics Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,661171000,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",NJ,-0.08,-0.07,0.009999999999999995,0,1,41090137,-36.26054,-18.14241,62.53049,504.259,42.906,128.463,-167,-64.812,-4.957,-14.842,3.08,1.5
ADMP,Adamis Pharma,"NASDAQ",2022-09-30,LIFE SCIENCES,29996600,PHARMACEUTICAL PREPARATIONS,CA,-0.03,-0.06,-0.03,0,0,1505683,-292.1532,-237.3744,105.20848,113.68,3.559,15.183,-1552.4,3.226,-36.243,-154.595,3.08,1.5
ADP,Automatic Data Processing Inc,"NASDAQ",2022-09-30,TECHNOLOGY,111962071000,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,NJ,1.86,1.5,-0.3600000000000001,1,0,4162900000,18.71292,27.70905,-255.03209,96.943,6.484,116.682,-3880.3,113.992,1.68,30.235,3.08,1.5
ADSK,Autodesk Inc,"NASDAQ",2022-07-31,TECHNOLOGY,43411407000,SERVICES-PREPACKAGED SOFTWARE,CA,1.65,1.43,-0.21999999999999997,1,0,1237000000,15.03638,22.63541,130.10753,63.948,32.211,358.108,1210,601.075,2.261,25.135,1.58,1.25
ADT,ADT Inc,NYSE,2022-09-30,TRADE & SERVICES,8842363000,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",FL,0.1,0.06,-0.04000000000000001,1,0,1603146000,-7.60923,6.67481,-55.20342,50.799,56.465,309.329,7126,-612.212,-0.694,-3.804,3.08,1.5
ADUS,Addus HomeCare Corporation,"NASDAQ",2022-09-30,LIFE SCIENCES,1813226000,SERVICES-HOME HEALTH CARE SERVICES,TX,0.94,0.91,-0.029999999999999916,1,0,238282000,4.84426,8.82987,151.74565,187.336,-0.348,-0.536,708.6,651.347,1.22,1.877,3.08,1.5
AE,Adams Resources & Energy Inc,NYSE MKT,2022-09-30,TRADE & SERVICES,92701000,WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS),TX,0.5,0.56,0.06000000000000005,1,1,852901000,0.25677,0.54367,136.66667,133.2,3.161,8.631,2515.1,38674.201,0.474,1.294,3.08,1.5
AEE,Ameren Corp,NYSE,2022-09-30,ENERGY & TRANSPORTATION,22760290000,ELECTRIC & OTHER SERVICES COMBINED,MO,1.74,0.8,-0.94,1,0,2306000000,19.60104,29.2281,132.52212,79.307,2.98,10.999,475.4,458.628,1.2,4.431,3.08,1.5
AEI,Alset Ehome International Inc,"NASDAQ",2022-09-30,REAL ESTATE & CONSTRUCTION,32062700,REAL ESTATE,MD,-0.08,-0.07,0.009999999999999995,0,1,708875,-1652.21315,-1651.08136,17.68263,2481.865,0.118,0.131,-207101200,0.781,-7.113,-7.938,3.08,1.5
AEIS,Advanced Energy Industries Inc,"NASDAQ",2022-09-30,MANUFACTURING,3464292000,"ELECTRONIC COMPONENTS, NEC",CO,2.12,1.44,-0.6800000000000002,1,0,514432000,14.41726,18.40807,104.59099,272.957,19.155,38.223,4211.3,257.821,3.757,7.497,3.08,1.5
AEL,American Equity Investment Life Holding Co,NYSE,2022-09-30,FINANCE,3635492000,LIFE INSURANCE,IA,1.29,0.98,-0.31000000000000005,1,0,491853000,63.55557,83.70631,38.82118,206.442,1.245,27.231,1176.3,57.865,0.445,9.745,3.08,1.5
AEP,American Electric Power Company Inc,"NASDAQ",2022-09-30,ENERGY & TRANSPORTATION,48878744000,ELECTRIC SERVICES,OH,1.62,1.2,-0.42000000000000015,1,0,5526100000,12.3722,23.4632,136.0392,78.74,41.373,155.499,257.9,755.244,0.749,2.816,3.08,1.5
AES,The AES Corporation,NYSE,2022-09-30,ENERGY & TRANSPORTATION,19150127000,COGENERATION SERVICES & SMALL POWER PRODUCERS,VA,0.63,0.34,-0.29,1,0,3627000000,11.60739,30.54866,185.51069,129.244,58.782,651.364,283,211.876,1.114,12.35,3.08,1.5
AEYE,AudioEye Inc,"NASDAQ",2022-09-30,TECHNOLOGY,57428000,SERVICES-PREPACKAGED SOFTWARE,AZ,-0.2,-0.23,-0.03,0,0,7700000,-29.64935,-29.2987,99.9562,121.531,5.489,12.181,-20745.5,-253.044,-8.919,-19.794,3.08,1.5
AFBI,Affinity Bancshares Inc,"NASDAQ",2022-09-30,FINANCE,96812000,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",GA,0.27,0.27,0,1,1,7932000,23.46193,39.58649,36.80817,6.221,0.644,4.339,98.1,121.171,0.24,1.615,3.08,1.5
AFG,American Financial Group Inc,NYSE,2022-09-30,FINANCE,12068240000,"FIRE, MARINE & CASUALTY INSURANCE",OH,2.24,2.85,0.6099999999999999,1,1,1984000000,8.31653,11.64315,127.27273,35.333,5.191,38.988,1105.3,931.515,0.559,4.196,3.08,1.5
AFIB,Acutus Medical Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,26745100,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,CA,-0.72,0.16,0.88,0,1,6179000,-330.55511,-310.98883,100.17625,512.466,29.932,59.379,-1845,58.174,-17.819,-35.349,3.08,1.5
AFL,Aflac Inc,NYSE,2022-09-30,FINANCE,44980180000,ACCIDENT & HEALTH INSURANCE,GA,1.15,1.46,0.31000000000000005,1,1,4820000000,33.11203,24.10788,55.13784,212.201,5.771,30.61,1491.5,-57.393,1.246,6.608,3.08,1.5
AFRM,Affirm Holdings Inc,"NASDAQ",2022-09-30,TRADE & SERVICES,4241993000,"SERVICES-BUSINESS SERVICES, NEC",CA,-0.86,-0.65,0.20999999999999996,0,1,361624000,-69.4835,-60.55544,114.40607,901.762,58.913,164.668,-1146.8,13.878,-3.507,-9.802,3.08,1.5
AGCO,AGCO Corporation,NYSE,2022-09-30,TECHNOLOGY,10110280000,FARM MACHINERY & EQUIPMENT,GA,3.18,2.37,-0.81,1,0,6240900000,3.81195,5.55689,139.59647,157.591,22.477,62.686,14439.1,310.593,2.423,6.758,3.08,1.5
AGEN,Agenus Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,905292000,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",MA,-0.19,-0.17,0.01999999999999999,0,1,22772000,-238.1082,-175.38205,76.80462,145.275,3.234,7.656,-266.8,-41.43,-12.639,-29.918,3.08,1.5
AGFS,AgroFresh Solutions Inc,"NASDAQ",2022-09-30,REAL ESTATE & CONSTRUCTION,155974000,BLANK CHECKS,PA,-0.21,-0.47,-0.26,0,0,44465000,-9.3062,16.96166,-118.87385,291.411,76.04,287.875,912.6,-778.444,-0.601,-2.274,3.08,1.5
AGFY,Agrify Corp,"NASDAQ",2022-09-30,LIFE SCIENCES,9142700,AGRICULTURAL SERVICES,MA,-17.33,-35.1,-17.770000000000003,0,0,7019000,-659.18222,-652.38638,68.18319,152.68,60.076,188.997,-8047.7,8.896,-41.989,-132.096,3.08,1.5
AGIO,Agios Pharm,"NASDAQ",2022-09-30,LIFE SCIENCES,1731863000,PHARMACEUTICAL PREPARATIONS,MA,-1.49,-1.68,-0.18999999999999995,0,0,8959000,-912.45675,-994.6311,111.42917,1464.54,7.534,8.468,-2385.8,25.299,-6.926,-7.784,3.08,1.5
AGM,Federal Agricultural Mortgage,NYSE,2022-09-30,FINANCE,1332447000,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES,DC,3.07,2.83,-0.23999999999999977,1,0,71428000,57.98566,243.11334,109.7687,11.747,91.02,1953.459,36.1,126.474,0.157,3.362,3.08,1.5
AGNC,AGNC Investment Corp,"NASDAQ",2022-09-30,REAL ESTATE & CONSTRUCTION,5721936000,REAL ESTATE INVESTMENT TRUSTS,MD,0.84,0.83,-0.010000000000000009,1,0,1095000000,-60.82192,-6.5611,-158.70871,95.162,69.038,559.457,539.3,-161.562,-1.138,-9.222,3.08,1.5
AGR,Avangrid Inc,NYSE,2022-09-30,ENERGY & TRANSPORTATION,16605510000,ELECTRIC SERVICES,CT,0.31,0.46,0.15000000000000002,1,1,1838000000,5.71273,22.30686,106.66667,73.731,2.183,4.501,147.4,1750.476,0.263,0.543,3.08,1.5
AGS,PlayAGS Inc,NYSE,2022-09-30,MANUFACTURING,202767000,MISCELLANEOUS MANUFACTURING INDUSTRIES,NV,0.01,0.04,0.03,1,1,67968000,0.70033,26.02843,1897.26891,239.158,81.269,1259.605,87.8,8867.857,0.069,1.076,3.08,1.5
AGYS,Agilysys Inc,"NASDAQ",2022-09-30,TECHNOLOGY,1684836000,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,TTA,0.24,0.21,-0.03,1,0,47741000,7.49042,8.08948,81.85123,219.852,7.243,15,292700,821.169,1.62,3.355,3.08,1.5
AHH,Armada Hflr Pr,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,1060092000,REAL ESTATE,VA,0.38,0.31,-0.07,1,0,122767000,23.52179,46.3724,175.17748,225.094,47.613,159.547,489,132.68,1.32,4.423,3.08,1.5
AHT,Ashford Hospitality Trust Inc,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,222174000,REAL ESTATE INVESTMENT TRUSTS,TX,-0.73,-0.27,0.45999999999999996,0,1,326767000,-6.76078,28.46554,-150.69256,341.728,96.652,-4230.482,54.6,-280.495,-0.556,24.347,3.08,1.5
AIG,American International Group Inc,NYSE,2022-09-30,FINANCE,46621995000,"FIRE, MARINE & CASUALTY INSURANCE",NY,0.66,1.19,0.5299999999999999,1,1,14602000000,18.55225,34.31037,-118.49391,1643.276,4.378,58.671,-1138.3,-35.548,0.518,6.942,3.08,1.5
AIMC,Altra Holdings Inc,"NASDAQ",2022-09-30,TECHNOLOGY,3839129000,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC",MA,0.8,0.84,0.039999999999999925,1,1,466300000,7.20566,12.73858,174.10714,229.128,-0.053,-0.1,19500,502.083,0.929,1.763,3.08,1.5
AIMD,Ainos Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,15208800,PHARMACEUTICAL PREPARATIONS,TX,-0.5112,-0.2,0.3112,0,1,1757774,-444.98075,-307.99847,100.00658,138.77,72.014,77.265,-20672,-7.437,-20.014,-21.473,3.08,1.5
AIN,Albany International Corporation,NYSE,2022-09-30,MANUFACTURING,3241864000,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK",NH,1.15,1.06,-0.08999999999999986,1,0,262138000,4.07953,10.81072,501.62708,426.679,28.438,54.779,1413.9,939.714,0.68,1.311,3.08,1.5
AINC,Ashford Inc,NYSE MKT,2022-09-30,TRADE & SERVICES,44560600,SERVICES-MANAGEMENT CONSULTING SERVICES,TX,1.48,2.21,0.73,1,1,161420000,-0.61269,6.75815,-282.6087,108.572,16.939,40.734,87.8,-12498.079,-0.188,-0.453,3.08,1.5
AIP,Arteris Inc,"NASDAQ",2022-09-30,MANUFACTURING,154090000,SEMICONDUCTORS & RELATED DEVICES,CA,-0.13,-0.07,0.06,0,1,12498000,-61.48184,-57.89726,100.91098,207.543,1.824,5.37,-7754,-151.874,-6.467,-19.04,3.08,1.5
AIR,AAR Corp,NYSE,2022-08-31,MANUFACTURING,1683886000,AIRCRAFT & PARTS,IL,0.61,0.72,0.10999999999999999,1,1,445200000,5.09883,8.69272,140.08811,289.243,-0.056,-0.087,2890.9,360.793,1.42,2.19,2.33,1.5
AIRI,Air Industries Group,NYSE MKT,2022-09-30,MANUFACTURING,18188500,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",NY,-0.04,-2e-4,0.0398,0,1,13278000,-1.06944,11.21404,-119.01408,175.785,91.217,283.324,143.2,-1578.873,-0.259,-0.805,3.08,1.5
AIRS,Airsculpt Technologies Inc,"NASDAQ",2022-09-30,LIFE SCIENCES,206153000,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,FL,-0.13,0.01,0.14,0,1,37134000,-19.86589,-0.47127,18.63901,71.849,42.519,113.772,-77.7,31.869,-3.804,-10.179,3.08,1.5
AIRT,Air T Inc,"NASDAQ",2022-09-30,ENERGY & TRANSPORTATION,69177000,AIR COURIER SERVICES,NC,-0.43,-0.5,-0.07,0,0,60688000,-2.03006,2.00699,-14.52922,200.256,67.579,668.343,9,-3856.331,-0.545,-5.393,3.08,1.5
AIT,Applied Industrial Technologies,NYSE,2022-09-30,TRADE & SERVICES,5071061000,"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES",OH,1.97,2.02,0.050000000000000044,1,1,1055697000,7.28239,10.821,138.5692,308.134,26.242,53.157,1644,399.041,3.107,6.294,3.08,1.5
AIV,Apartment Investment and Management Co,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,1250964000,REAL ESTATE INVESTMENT TRUSTS,CO,0.19,1.57,1.3800000000000001,1,1,47683000,60.95883,223.68769,-227.12698,20496000,40.954,122.636,-679.3,-172.925,1.266,3.791,3.08,1.5
AIZ,Assurant Inc,NYSE,2022-09-30,FINANCE,6762951000,"INSURANCE CARRIERS, NEC",NY,1.01,2.95,1.9400000000000002,1,1,2547800000,0.28652,3.12426,3498.63014,81.031,6.405,51.948,971.1,3498.63,0.022,0.178,3.08,1.5
AJG,Arthur J Gallagher & Co,NYSE,2022-09-30,FINANCE,42433660000,"INSURANCE AGENTS, BROKERS & SERVICE",IL,1.72,1.7,-0.020000000000000018,1,0,1979600000,12.9218,26.4902,186.20016,105.967,16.157,72.867,739.6,311.884,0.662,2.984,3.08,1.5
AJRD,Aerojet Rocketdyne Holdings Inc,NYSE,2022-09-30,MANUFACTURING,4394670000,GUIDED MISSILES & SPACE VEHICLES & PARTS,CA,0.45,0.2,-0.25,1,0,522000000,2.62452,8.86973,389.05109,124.76,11.686,50.6,1045.1,316.058,0.603,2.609,3.08,1.5
AJX,Great Ajax Corp,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,179249000,REAL ESTATE INVESTMENT TRUSTS,OR,-0.71,-0.4,0.30999999999999994,0,1,21891000,-43.21867,-7.54648,-128.03086,68.66,59.37,259.523,106.5,-149.466,-0.62,-2.708,3.08,1.5
AKAM,Akamai Technologies Inc,"NASDAQ",2022-09-30,TRADE & SERVICES,14747727000,"SERVICES-BUSINESS SERVICES, NEC",MA,1.26,1.35,0.09000000000000008,1,1,879111000,12.30266,20.28401,148.34218,225.172,28.174,53.958,5760.8,492.502,1.334,2.555,3.08,1.5
AKBA,Akebia Ther,"NASDAQ",2022-09-30,LIFE SCIENCES,53367000,PHARMACEUTICAL PREPARATIONS,MA,-0.28,0.15,0.43000000000000005,0,1,48058000,-107.92168,-81.514,92.88345,126.36,15.129,476.049,-1219,-19.495,-11.899,-374.395,3.08,1.5
AKR,Acadia Realty Trust,NYSE,2022-09-30,REAL ESTATE & CONSTRUCTION,1519926000,REAL ESTATE INVESTMENT TRUSTS,NY,-0.61,-0.0039,0.6061,0,1,79946000,-73.90489,-31.58882,23.61553,7.192,41.66,106.771,-13546.6,18.768,-1.354,-3.47,3.08,1.5
AKTS,Akoustis Technologies Inc,"NASDAQ",2022-09-30,MANUFACTURING,214936000,TELEPHONE & TELEGRAPH APPARATUS,NC,-0.28,-0.26,0.020000000000000018,0,1,5566000,-342.99317,-282.86022,94.10717,574.622,0.08,0.134,-12563.6,4.646,-13.197,-22.023,3.08,1.5
