,Symbol,Name,Sector,Industry
306,AMCI,AMCI Acquisition Corp. II Class A Common Stock,Industrials,Consumer Electronics/Appliances
308,AMCX,AMC Networks Inc. Class A Common Stock,Consumer Discretionary,Movies/Entertainment
309,AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors
311,AMED,Amedisys Inc Common Stock,Health Care,Medical/Nursing Services
312,AMEH,Apollo Medical Holdings Inc. Common Stock,Health Care,Managed Health Care
313,AMG,Affiliated Managers Group Inc. Common Stock,Finance,Investment Managers
314,AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
315,AMK,AssetMark Financial Holdings Inc. Common Stock,Finance,Finance/Investors Services
316,AMKR,Amkor Technology Inc. Common Stock,Technology,Semiconductors
317,AMLX,Amylyx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
319,AMNB,American National Bankshares Inc. Common Stock,Finance,Major Banks
321,AMP,Ameriprise Financial Inc. Common Stock,Finance,Investment Managers
323,AMPG,Amplitech Group Inc. Common Stock,Technology,Industrial Machinery/Components
325,AMPH,Amphastar Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
326,AMPL,Amplitude Inc. Class A Common Stock,Technology,EDP Services
327,AMPY,Amplify Energy Corp. Common Stock,Energy,Oil & Gas Production
328,AMR,Alpha Metallurgical Resources Inc. Common Stock,Energy,Coal Mining
329,AMRC,Ameresco Inc. Class A Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction
330,AMRK,A-Mark Precious Metals Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
331,AMRS,Amyris Inc. Common Stock,Industrials,Industrial Specialties
332,AMS,American Shared Hospital Services Common Stock,Health Care,Medical Specialities
333,AMSC,American Superconductor Corporation Common Stock,Industrials,Office Equipment/Supplies/Services
334,AMSF,AMERISAFE Inc. Common Stock,Finance,Accident &Health Insurance
335,AMST,Amesite Inc. Common Stock,Technology,Computer Software: Prepackaged Software
336,AMSWA,American Software Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
337,AMT,American Tower Corporation (REIT) Common Stock,Real Estate,Real Estate Investment Trusts
338,AMTB,Amerant Bancorp Inc. Class A Common Stock,Finance,Major Banks
339,AMTI,Applied Molecular Transport Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
340,AMTX,Aemetis Inc. (DE) Common Stock,Energy,Oilfield Services/Equipment
341,AMV,Atlis Motor Vehicles Inc. Class A Common Stock,Consumer Discretionary,Automotive Aftermarket
342,AMWD,American Woodmark Corporation Common Stock,Consumer Discretionary,Building Products
343,AMWL,American Well Corporation Class A Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
344,AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
345,AN,AutoNation Inc. Common Stock,Consumer Discretionary,Other Specialty Stores
346,ANAB,AnaptysBio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
347,ANDE,Andersons Inc. (The) Common Stock,Consumer Staples,Tobacco
348,ANEB,Anebulo Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
349,ANF,Abercrombie & Fitch Company Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
350,ANGI,Angi Inc. Class A Common Stock,Technology,EDP Services
351,ANGN,Angion Biomedica Corp. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
352,ANGO,AngioDynamics Inc. Common Stock,Health Care,Medical/Dental Instruments
353,ANIK,Anika Therapeutics Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
355,ANIX,Anixa Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
356,ANNX,Annexon Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
357,ANSS,ANSYS Inc. Common Stock,Technology,Computer Software: Prepackaged Software
358,ANTX,AN2 Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
359,ANVS,Annovis Bio Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
360,ANZU,Anzu Special Acquisition Corp I Class A Common Stock,Industrials,Consumer Electronics/Appliances
364,AOGO,Arogo Capital Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
366,AORT,Artivion Inc. Common Stock,Health Care,Medical/Dental Instruments
367,AOS,A.O. Smith Corporation Common Stock,Industrials,Industrial Machinery/Components
368,AOUT,American Outdoor Brands Inc. Common Stock ,,
369,AP,Ampco-Pittsburgh Corporation Common Stock,Industrials,Metal Fabrications
370,APA,APA Corporation Common Stock,Energy,Oil & Gas Production
374,APAM,Artisan Partners Asset Management Inc. Class A Common Stock,Finance,Investment Managers
375,APCX,AppTech Payments Corp. Common Stock,Technology,EDP Services
377,APD,Air Products and Chemicals Inc. Common Stock,Industrials,Specialty Chemicals
378,APDN,Applied DNA Sciences Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
379,APEI,American Public Education Inc. Common Stock,Consumer Discretionary,Other Consumer Services
380,APEN,Apollo Endosurgery Inc. Common Stock,Health Care,Industrial Specialties
381,APGN,Apexigen Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
383,APH,Amphenol Corporation Common Stock,Technology,Electrical Products
384,APLD,Applied Digital Corporation Common Stock,Finance,Investment Bankers/Brokers/Service
386,APLS,Apellis Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
387,APLT,Applied Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
388,APMI,AxonPrime Infrastructure Acquisition Corporation Class A Common Stock,Industrials,Consumer Electronics/Appliances
391,APOG,Apogee Enterprises Inc. Common Stock,,
392,APP,Applovin Corporation Class A Common Stock,Technology,EDP Services
393,APPF,AppFolio Inc. Class A Common Stock,Technology,EDP Services
394,APPH,AppHarvest Inc. Common Stock,Consumer Staples,Farming/Seeds/Milling
396,APPN,Appian Corporation Class A Common Stock,Technology,EDP Services
397,APPS,Digital Turbine Inc. Common Stock,Technology,Computer Software: Prepackaged Software
398,APRE,Aprea Therapeutics Inc. Common stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
399,APRN,Blue Apron Holdings Inc. Class A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
403,APTX,Aptinyx Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
404,APVO,Aptevo Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
405,APYX,Apyx Medical Corporation Common Stock,Health Care,Medical/Dental Instruments
406,AQB,AquaBounty Technologies Inc. Common Stock,,
407,AQMS,Aqua Metals Inc. Common Stock,Utilities,Environmental Services
408,AQST,Aquestive Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
409,AQU,Aquaron Acquisition Corp. Common Stock,Industrials,Consumer Electronics/Appliances
410,AQUA,Evoqua Water Technologies Corp. Common Stock,Industrials,Office Equipment/Supplies/Services
413,ARAV,Aravive Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
414,ARAY,Accuray Incorporated Common Stock,Health Care,Medical/Dental Instruments
415,ARBG,Aequi Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
417,ARC,ARC Document Solutions Inc. Common Stock,Consumer Discretionary,Business Services
418,ARCB,ArcBest Corporation Common Stock,Industrials,Trucking Freight/Courier Services
419,ARCC,Ares Capital Corporation Common Stock,Finance,Finance/Investors Services
420,ARCH,Arch Resources Inc. Class A Common Stock,Energy,Coal Mining
421,ARCK,Arbor Rapha Capital Bioholdings Corp. I Class A Common Stock,Industrials,Consumer Electronics/Appliances
425,ARDS,Aridis Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
426,ARDX,Ardelyx Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
427,ARE,Alexandria Real Estate Equities Inc. Common Stock,Real Estate,Real Estate Investment Trusts
428,AREB,American Rebel Holdings Inc. Common Stock,Consumer Discretionary,Apparel
430,AREC,American Resources Corporation Class A Common Stock,,
431,ARGU,Argus Capital Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
434,ARHS,Arhaus Inc. Class A Common Stock,Consumer Discretionary,Wholesale Distributors
436,ARIZ,Arisz Acquisition Corp. Common Stock,Industrials,Consumer Electronics/Appliances
438,ARKO,ARKO Corp. Common Stock,Energy,Oil Refining/Marketing
440,ARKR,Ark Restaurants Corp. Common Stock,Consumer Discretionary,Restaurants
441,ARL,American Realty Investors Inc. Common Stock,Real Estate,Building operators
442,ARLO,Arlo Technologies Inc. Common Stock,Technology,Security Systems Services
444,ARMP,Armata Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
445,AROC,Archrock Inc. Common Stock,Energy,Oil & Gas Production
446,AROW,Arrow Financial Corporation Common Stock,Finance,Major Banks
447,ARQT,Arcutis Biotherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
450,ARRW,Arrowroot Acquisition Corp. Class A common stock,Industrials,Consumer Electronics/Appliances
453,ARRY,Array Technologies Inc. Common Stock,Technology,Semiconductors
454,ARTE,Artemis Strategic Investment Corporation Class A Common Stock,Industrials,Consumer Electronics/Appliances
456,ARTL,Artelo Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
458,ARTNA,Artesian Resources Corporation Class A Common Stock,Utilities,Water Supply
459,ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,Industrials,Industrial Machinery/Components
460,ARVN,Arvinas Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
461,ARW,Arrow Electronics Inc. Common Stock,Technology,Electronic Components
462,ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
466,ASAP,Waitr Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
467,ASAX,Astrea Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
470,ASB,Associated Banc-Corp Common Stock,Finance,Major Banks
474,ASGN,ASGN Incorporated Common Stock,Technology,EDP Services
475,ASH,Ashland Inc. Common Stock,Industrials,Specialty Chemicals
476,ASIX,AdvanSix Inc. Common Stock ,Industrials,Major Chemicals
477,ASLE,AerSale Corporation Common Stock,Consumer Discretionary,Aerospace
478,ASMB,Assembly Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
479,ASNS,Actelis Networks Inc. Common Stock,Telecommunications,Telecommunications Equipment
480,ASO,Academy Sports and Outdoors Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
481,ASPA,ABRI SPAC I INC. Common Stock,Industrials,Consumer Electronics/Appliances
