...1,Symbol,Name,Sector,Sector_NDAQ,Industry,Industry_NDAQ,Description,Exchange,LatestQuarter,MarketCapitalization,BookValue,DividendYield,DividendPerShare,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY
11,ABBV,AbbVie Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Other Pharmaceuticals,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,NYSE,2022-09-30,289429455000,9.04,0.0374,5.64,7.64,32.64,0.232,0.365,0.0909,0.906,57819001000,38883000000,0.242,0.033
12,ABC,AmerisourceBergen,TRADE & SERVICES,Health Care,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",Other Pharmaceuticals,AmerisourceBergen Corporation is an American drug wholesale company that was formed by the merger of Bergen Brunswig and AmeriSource in 2001.,NYSE,2022-09-30,35222708000,0.344,0.0116,1.84,8.04,186,0.0071,0.0117,0.0306,0.508,238587003000,8334565000,-0.323,0.038
13,ABCB,Ameris Bancorp,FINANCE,Finance,STATE COMMERCIAL BANKS,Major Banks,"Ameris Bancorp is the banking holding company for Ameris Bank providing a range of banking services to retail and business clients primarily in Georgia, Alabama, Florida and South Carolina. The company is headquartered in Atlanta, Georgia.","NASDAQ",2022-09-30,3651367000,45.12,0.0115,0.6,4.98,14.34,0.349,0.462,0.0149,0.115,993131000,1041196000,0.144,0.04
14,ABEO,Abeona Therapeutics Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,"Abeona Therapeutics Inc., a clinical-stage biopharmaceutical company, develops gene and cell therapies for rare, life-threatening genetic diseases. The company is headquartered in New York, New York.","NASDAQ",2022-09-30,68531000,2.009,0,0,20,0.782,0,-3,-0.376,-1.792,4346000,-299000,0,0
15,ABG,Asbury Automotive Group Inc,TRADE & SERVICES,Consumer Discretionary,RETAIL-AUTO DEALERS & GASOLINE STATIONS,Other Specialty Stores,"Asbury Automotive Group, Inc. is an automobile retailer in the United States. The company is headquartered in Duluth, Georgia.",NYSE,2022-09-30,4057440000,60,0,0,20,186,0.0546,0.0838,0.132,0.398,14382700000,1902200000,0.224,0.607
17,ABM,ABM Industries Incorporated,TRADE & SERVICES,Consumer Discretionary,SERVICES-TO DWELLINGS & OTHER BUILDINGS,Diversified Commercial Services,"ABM Industries Incorporated provides integrated facility solutions in the United States and internationally. The company is headquartered in New York, New York.",NYSE,2022-07-31,3062153000,25.4,0.0171,0.775,3.18,111.14,0.0288,0.0446,0.0492,0.132,7491100000,1022300000,0.565,0.271
18,ABMD,ABIOMED Inc,LIFE SCIENCES,Health Care,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,Medical/Dental Instruments,"Abiomed is a publicly-traded medical devices company that develops and manufactures external and implantable circulatory support devices. The company is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Tokyo, Japan.","NASDAQ",2022-09-30,17008401000,34.09,0,0,5.83,23.61,0.248,0.23,0.0955,0.182,1074096000,843595000,0.871,0.072
19,ABNB,Airbnb Inc - Class A,TRADE & SERVICES,Consumer Discretionary,SERVICES-TO DWELLINGS & OTHER BUILDINGS,Hotels/Resorts,"Airbnb, Inc. is an American company that operates an online marketplace for lodging, primarily homestays for vacation rentals, and tourism activities, based in San Francisco, California.","NASDAQ",2022-09-30,63950881000,8.75,0,0,2.35,12.63,0.203,0.206,0.0696,0.326,8029650000,4835927000,0.467,0.289
20,ABOS,Acumen Pharmaceuticals Inc,LIFE SCIENCES,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology: Pharmaceutical Preparations,"Acumen Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, is dedicated to developing therapies for the treatment of Alzheimer's disease and other neurodegenerative diseases. The company is headquartered in Charlottesville, Virginia.","NASDAQ",2022-09-30,229182000,4.855,0,0,1.17,0.033,0,0,-0.112,-0.178,329000,-12305000,0,0
21,ABR,Arbor Realty Trust,REAL ESTATE & CONSTRUCTION,Real Estate,REAL ESTATE INVESTMENT TRUSTS,Real Estate Investment Trusts,"Arbor Realty Trust, Inc. invests in a diversified portfolio of structured financial assets in the commercial, single-family, and multi-family real estate markets in the United States. The company is headquartered in Uniondale, New York.",NYSE,2022-09-30,2533404000,12.75,0.11,1.54,1.646,4.091,0.527,0.669,0.025,15.79,649277000,615206000,-0.285,-0.054
22,ABSI,Absci Corp,TRADE & SERVICES,Health Care,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,Biotechnology: Pharmaceutical Preparations,NA,"NASDAQ",2022-09-30,244846000,3.154,0,0,-1.776,0.062,0,-3,-0.177,-0.325,5642000,-39804000,0,0.539
23,ABT,Abbott Laboratories,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Medical/Dental Instruments,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",NYSE,2022-09-30,188462481000,20.46,0.0179,1.88,4.43,25.59,0.175,0.23,0.0882,0.224,45029999000,25009000000,-0.308,-0.047
24,ABVC,ABVC Biopharma Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,"American BriVision (Holding) Corporation, a clinical-stage biopharmaceutical company, develops drugs and medical devices to meet unmet medical needs in the United States.","NASDAQ",2022-09-30,24960400,0.183,0,0,-0.671,0.012,0,-3,-1,-2.818,343000,350710,0,-0.573
25,AC,Associated Capital Group Inc,FINANCE,Finance,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",Investment Bankers/Brokers/Service,"Associated Capital Group, Inc. provides investment advisory services in the United States. The company is headquartered in Greenwich, Connecticut.",NYSE,2022-09-30,916172000,39.96,0.0052,0.2,-2.412,0.984,-1,-0.566,-0.0063,-5.87,21688000,-3533000,-0.813,0.213
28,ACAD,ACADIA Pharmaceuticals Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of small molecule drugs that address unmet medical needs in central nervous system disorders. The company is headquartered in San Diego, California.","NASDAQ",2022-09-30,2552033000,2.63,0,0,-1.334,3.159,-0.425,-0.434,-0.21,-0.438,511503000,225589000,0,-0.007
31,ACCD,Accolade Inc,TRADE & SERVICES,Technology,"SERVICES-BUSINESS SERVICES, NEC",Interactive Media,"Accolade, Inc. develops and provides technology solutions that help people understand, navigate, and utilize the health care system and benefits of their workplace in the United States. The company is headquartered in Plymouth Meeting, Pennsylvania.","NASDAQ",2022-08-31,639537000,7.08,0,0,-1.929,5.13,-1,-0.487,-0.0969,-0.647,350377000,141002000,0,0.196
32,ACCO,Acco Brands Corporation,MANUFACTURING,Consumer Discretionary,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",Advertising,"ACCO Brands Corporation designs, manufactures and markets consumer, school, technology and office products. The company is headquartered in Lake Zurich, Illinois.",NYSE,2022-09-30,527861000,8.29,0.055,0.3,0.22,21.1,0.0107,0.0826,0.0353,0.0274,2018500000,617900000,-0.2,-0.078
33,ACER,Acer Therapeutics Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Biological Products (No Diagnostic Substances),"Acer Therapeutics Inc., a pharmaceutical company, focuses on the acquisition, development and commercialization of therapies for serious rare and life-threatening diseases. The company is headquartered in Newton, Massachusetts.","NASDAQ",2022-09-30,24560400,0.151,0,0,-1.393,0.024,0,-3,-0.621,-4.73,360000,1260000,0,0
34,ACET,Adicet Bio Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,"Adicet Bio, Inc., a biotechnology company, discovers and develops allogeneic gamma delta T cell therapies for cancer and other diseases. The company is headquartered in Boston, Massachusetts.","NASDAQ",2022-09-30,825316000,7.42,0,0,-1.049,0.783,-1,-1.888,-0.118,-0.208,30458000,9730000,0,0.011
35,ACHC,Acadia Healthcare Company Inc,LIFE SCIENCES,Health Care,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",Hospital/Nursing Management,"Acadia Healthcare Company, Inc. develops and operates inpatient psychiatric facilities, residential treatment centers, group homes, substance abuse facilities, and outpatient behavioral health facilities to serve the behavioral health and recovery needs of the communities in the United States. United States and Puerto Rico. The company is headquartered in Franklin, Tennessee.","NASDAQ",2022-09-30,7955003000,30.53,0,0,3.07,28.27,0.112,0.172,0.0571,0.108,2528584000,979888000,0.068,0.135
37,ACI,Albertsons Companies,TRADE & SERVICES,Consumer Staples,RETAIL-GROCERY STORES,Food Chains,"Albertsons Companies, Inc. participates in the pharmacy and food operation in the United States.",NYSE,2022-08-31,11225690000,8.23,0.0229,0.48,2.825,151.4,0.0227,0.0342,0.0574,24,75341603000,21124600000,0.154,0.086
38,ACIW,ACI Worldwide Inc,TECHNOLOGY,Technology,SERVICES-PREPACKAGED SOFTWARE,EDP Services,"ACI Worldwide, Inc., a software company, develops, markets, installs and supports a variety of software products and solutions to facilitate electronic payments to banks, financial intermediaries, merchants and invoice issuers globally. The company is headquartered in Naples, Florida.","NASDAQ",2022-09-30,2438516000,10.59,0,0,1.38,12.48,0.112,0.155,0.0433,0.135,1436925000,731727000,0.708,-0.033
39,ACLS,Axcelis Technologies Inc,TECHNOLOGY,Technology,"SPECIAL INDUSTRY MACHINERY, NEC",Industrial Machinery/Components,"Axcelis Technologies, Inc. designs, manufactures and services the ion implantation and other processing equipment used in the manufacture of semiconductor chips in the United States, Europe and Asia. The company is headquartered in Beverly, Massachusetts.","NASDAQ",2022-09-30,2587157000,18.67,0,0,4.798,25.92,0.188,0.236,0.157,24,859631000,286445000,0.494,0.297
41,ACM,Aecom Technology Corporation,TRADE & SERVICES,Consumer Discretionary,SERVICES-ENGINEERING SERVICES,Military/Government/Technical,"AECOM provides professional construction and program management services in the Americas, Europe, the Middle East, Africa, and Asia Pacific. The company is headquartered in Los Angeles, California.",NYSE,2022-09-30,11910035000,17.83,0.0087,0.6,2.73,93.4,0.0236,0.0537,0.0386,0.153,13148182000,847974000,0.136,0.022
42,ACMR,Acm Research Inc,TECHNOLOGY,Technology,"SPECIAL INDUSTRY MACHINERY, NEC",Industrial Machinery/Components,"ACM Research, Inc. develops, manufactures and sells single wafer wet cleaning equipment to improve the manufacturing process and performance of embedded chips globally. The company is headquartered in Fremont, California.","NASDAQ",2022-09-30,534548000,10.81,0,0,0.63,6.36,0.115,0.164,0.0475,0.108,375432000,114856000,1.102,0.995
43,ACNB,ACNB Corporation,FINANCE,Finance,STATE COMMERCIAL BANKS,Major Banks,"ACNB Corporation, a financial holding company, provides banking, insurance and financial services to individual, commercial and government clients in the United States. The company is headquartered in Gettysburg, Pennsylvania.","NASDAQ",2022-09-30,331737000,27.28,0.0291,1.04,3.47,11.39,0.304,0.406,0.011,0.12,98744000,93970000,0.424,0.219
44,ACNT,Synalloy Corporation,MANUFACTURING,Industrials,STEEL PIPE & TUBES,Steel/Iron Ore,"Ascent Industries Co., manufactures and sells specialty metals and chemicals in the United States and internationally. The company is headquartered in Oak Brook, Illinois.","NASDAQ",2022-09-30,112604000,13.15,0,0,2.9,42.45,0.0701,0.0908,0.0929,0.264,428255000,60766000,-0.931,0.162
45,ACON,Aclarion Inc,LIFE SCIENCES,Technology,SERVICES-MEDICAL LABORATORIES,Retail: Computer Software & Peripheral Equipment,NA,"NASDAQ",2022-09-30,6882900,0.375,0,0,-7.12,0.011,0,-3,-1,0,49900,-8883,0,0.677
46,ACOR,Acorda Therapeutics Inc,LIFE SCIENCES,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology: Biological Products (No Diagnostic Substances),"Acorda Therapeutics, Inc., a biopharmaceutical company, develops and markets therapies for neurological disorders in the United States. The company is headquartered in Ardsley, New York.","NASDAQ",2022-09-30,14877700,3.114,0,0,-8.22,7.48,-0.851,-0.361,-0.0652,-0.879,124063000,78464000,5.87,0.065
47,ACR,Acres Commercial Realty Corp,REAL ESTATE & CONSTRUCTION,Real Estate,REAL ESTATE INVESTMENT TRUSTS,Real Estate Investment Trusts,"ACRES Commercial Realty Corp. The company is headquartered in Westbury, New York.",NYSE,2022-09-30,87148000,53.82,0.505,0,0.619,7.94,0.353,0.316,0.0113,1.34,71847000,60736000,-0.928,0.585
48,ACRE,Ares Commercial Real Estate,REAL ESTATE & CONSTRUCTION,Real Estate,REAL ESTATE INVESTMENT TRUSTS,Real Estate Investment Trusts,"Ares Commercial Real Estate Corporation, a specialized finance company, originates and invests in commercial real estate loans (CRE) and related investments in the United States. The company is headquartered in New York, New York.",NYSE,2022-09-30,659300000,14.1,0.107,1.32,0.89,1.566,0.564,0.54,0.017,0.0612,78028000,100394000,-0.952,-0.619
49,ACRS,Aclaris Therapeutics Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Commercial Physical & Biological Resarch,"Aclaris Therapeutics, Inc. is a clinical-stage biopharmaceutical company developing a line of novel small molecule therapeutics to address the needs of patients with immuno-inflammatory diseases. The company is headquartered in Wayne, Pennsylvania.","NASDAQ",2022-09-30,1109608000,3.297,0,0,-1.36,0.368,0,-3,-0.197,-0.376,23500000,-41765000,0,10
50,ACRX,AcelRx Pharmaceuticals Inc,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Medicinal Chemicals and Botanical Products,"AcelRx Pharmaceuticals, Inc., a specialty pharmaceutical company, focuses on the development and commercialization of therapies for the treatment of acute pain. The company is headquartered in Redwood City, California.","NASDAQ",2022-09-30,16686600,3.676,0,0,6.33,0.214,1,-3,-0.332,0,1521000,-5030000,0,-0.728
51,ACT,Enact Holdings Inc,FINANCE,Finance,"INSURANCE AGENTS, BROKERS & SERVICE",Specialty Insurers,NA,"NASDAQ",2022-09-30,4030364000,25.28,0.023,0.28,4.38,6.7,0.654,0.884,0.103,0.172,1091046000,748969000,0.393,-0.019
52,ACTG,Acacia Research Corporation,REAL ESTATE & CONSTRUCTION,Miscellaneous,PATENT OWNERS & LESSORS,Multi-Sector Companies,"Acacia Research Corporation intends to acquire undervalued businesses primarily in the technology, life sciences, industry and financial services segments in the United States. The company is headquartered in New York, New York.","NASDAQ",2022-09-30,178080000,6.69,0,0,0.48,2.466,0.892,0.0568,0.0063,0.365,109364000,51949000,-0.975,9.04
53,ACU,Acme United Corporation,MANUFACTURING,Consumer Discretionary,"CUTLERY, HANDTOOLS & GENERAL HARDWARE",Home Furnishings,"Acme United Corporation supplies cutting, measuring, first aid, sharpening and safety products for the school, home, office, hardware, sporting goods and industrial markets in the United States, Canada, Europe and Asia. The company is headquartered in Shelton, Connecticut.",NYSE MKT,2022-09-30,84021000,22.34,0.0236,0.54,1.56,55.45,0.0305,0.0478,0.037,0.0767,195642000,64800000,-0.964,0.038
54,ACVA,ACV Auctions Inc,TRADE & SERVICES,Industrials,"SERVICES-BUSINESS SERVICES, NEC",Metal Fabrications,"ACV Auctions, Inc., operates a digital marketplace that connects buyers and sellers for online wholesale vehicle auctions. The company is headquartered in Buffalo, New York.","NASDAQ",2022-09-30,1374888000,3.159,0,0,-0.58,2.706,-0.245,-0.244,-0.0687,-0.194,423733000,52626000,0,0.148
56,ADBE,Adobe Systems Incorporated,TECHNOLOGY,Technology,SERVICES-PREPACKAGED SOFTWARE,Computer Software: Prepackaged Software,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.","NASDAQ",2022-08-31,158777295000,30.78,0,0,10.07,36.4,0.28,0.354,0.144,0.334,17191000000,13920000000,-0.04,0.127
57,ADC,Agree Realty Corporation,REAL ESTATE & CONSTRUCTION,Real Estate,REAL ESTATE INVESTMENT TRUSTS,Real Estate Investment Trusts,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of net leased properties to industry leading retail tenants.,NYSE,2022-09-30,6286707000,49.47,0.0421,2.766,1.83,5.46,0.357,0.503,0.022,0.0368,404695000,298262000,-0.115,0.257
58,ADEA,ADEIA CORP,MANUFACTURING,Technology,SEMICONDUCTORS & RELATED DEVICES,EDP Services,"Adeia Inc., is a global consumer and entertainment products/solutions licensing company. The company is headquartered in San Jose, California.","NASDAQ",2022-09-30,1136738000,9.45,0.0193,0.2,0,8.81,-0.419,0.0662,0.0162,-0.33,916828000,750938000,0,-0.038
60,ADES,Advanced Emissions Solutions Inc,LIFE SCIENCES,Industrials,MISCELLANEOUS CHEMICAL PRODUCTS,Industrial Specialties,"Advanced Emissions Solutions, Inc., provides environmental technologies and specialty chemicals in the United States. The company is headquartered in Greenwood Village, Colorado.","NASDAQ",2022-09-30,54084000,7.71,0,0,1.25,5.72,7e-4,-0.082,-0.0294,5e-4,105342000,38218000,10,-0.078
61,ADI,Analog Devices Inc,MANUFACTURING,Technology,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,"Analog Devices, Inc. (ADI), also known simply as Analog, is an American multinational semiconductor company specializing in data conversion, signal processing and power management technology, headquartered in Wilmington, Massachusetts.","NASDAQ",2022-10-31,85882585000,60,0.0185,3.04,5.25,23.14,0.229,0.318,0.0465,0.0738,12013953000,7803870000,10,0.388
63,ADM,Archer-Daniels-Midland Company,MANUFACTURING,NA,FATS & OILS,NA,"The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide.",NYSE,2022-09-30,50379424000,43.71,0.0166,1.57,7.25,174.78,0.0416,0.043,0.048,0.178,98706997000,5987000000,0.968,0.214
64,ADMA,ADMA Biologics Inc,LIFE SCIENCES,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology: Pharmaceutical Preparations,"ADMA Biologics, Inc., a biopharmaceutical company, develops, manufactures and markets plasma-derived biological products specialized for the treatment of immunodeficiencies and infectious diseases in the United States. The company is headquartered in Ramsey, New Jersey.","NASDAQ",2022-09-30,661171000,0.51,0,0,-0.49,0.678,-0.539,-0.356,-0.108,-0.692,130481000,1173300,0,0.987
65,ADMP,Adamis Pharma,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Biotechnology: Pharmaceutical Preparations,"Adamis Pharmaceuticals Corporation, a specialty biopharmaceutical company, develops and markets products in the therapeutic areas of allergies and respiratory diseases in the United States. The company is headquartered in San Diego, California.","NASDAQ",2022-09-30,29996600,0.019,0,0,-0.273,0.01,0,-3,-0.626,-1.634,1446000,-4663451,0,0.981
66,ADN,Advent Technologies Holdings Inc,REAL ESTATE & CONSTRUCTION,Utilities,BLANK CHECKS,Power Generation,"Advent Technologies Holdings, Inc., an advanced materials and technology development company, operates in the hydrogen and fuel cell technology markets. The company is headquartered in Boston, Massachusetts.","NASDAQ",2022-09-30,108090000,2.077,0,0,-0.561,0.171,0,-3,-0.22,-0.293,8781800,1662600,0,0.433
67,ADP,Automatic Data Processing Inc,TECHNOLOGY,Consumer Discretionary,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,Business Services,"Automatic Data Processing, Inc. (ADP) is an American provider of human resources management software and services.","NASDAQ",2022-09-30,111962071000,6.21,0.0195,4.16,7.22,40.47,0.179,0.236,0.0468,0.764,16881601000,7447100000,0.133,0.1
68,ADPT,Adaptive Biotechnologies Corp,LIFE SCIENCES,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology: Biological Products (No Diagnostic Substances),"Adaptive Biotechnologies Corporation, a commercial-stage company, develops an immune medicine platform for the diagnosis and treatment of various diseases. The company is headquartered in Seattle, Washington.","NASDAQ",2022-09-30,1410179000,3.412,0,0,-1.626,1.183,-1,-1.325,-0.148,-0.389,168040000,90982000,0,0.212
69,ADSK,Autodesk Inc,TECHNOLOGY,Technology,SERVICES-PREPACKAGED SOFTWARE,Computer Software: Prepackaged Software,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.","NASDAQ",2022-10-31,43411407000,4.194,0,0,2.84,22.53,0.126,0.2,0.0713,0.566,4898400000,4021400000,0.492,0.137
70,ADT,ADT Inc,TRADE & SERVICES,Consumer Discretionary,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",Diversified Commercial Services,"ADT Inc. provides security, automation and smart home solutions to consumers and business customers in the United States. The company is headquartered in Boca Raton, Florida.",NYSE,2022-09-30,8842363000,3.547,0.0156,0.14,-0.0488,6.91,-0.006,0.0874,0.0199,-1.237,6130856000,3756938000,0,0.218
71,ADTH,AdTheorent Holding Company Inc,TECHNOLOGY,Consumer Discretionary,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",Advertising,NA,"NASDAQ",2022-09-30,159031000,1.675,0,0,0.52,2.114,0.244,-0.0849,-0.0612,0.38,169298000,165365000,0.2,-0.049
72,ADTN,ADTRAN Inc,MANUFACTURING,Telecommunications,TELEPHONE & TELEGRAPH APPARATUS,Telecommunications Equipment,"ADTRAN, Inc. provides networking and communications platforms and services for service providers, cable / multi-system operators, small and medium-sized businesses, and distributed businesses in the United States, Germany, Mexico, and internationally. The company is headquartered in Huntsville, Alabama.","NASDAQ",2022-09-30,1620679000,11.25,0.0184,0.36,-0.22,14.9,-0.0549,-0.0338,-0.0145,-0.062,821423000,218393000,-0.6,1.467
73,ADTX,Aditxt Inc.,LIFE SCIENCES,Health Care,PHARMACEUTICAL PREPARATIONS,Medicinal Chemicals and Botanical Products,NA,"NASDAQ",2022-09-30,7406800,3.402,0,0,-1.72,0.886,0,-3,-0.863,-3.391,853150,27060,0,0
74,ADUS,Addus HomeCare Corporation,LIFE SCIENCES,Health Care,SERVICES-HOME HEALTH CARE SERVICES,Medical/Nursing Services,"Addus HomeCare Corporation, provides personal care services to the elderly, the chronically ill, the disabled, and people who are at risk of hospitalization or institutionalization in the United States. The company is headquartered in Frisco, Texas.","NASDAQ",2022-09-30,1813226000,38.6,0,0,2.72,58.68,0.0477,0.082,0.0509,0.0756,928712000,270439000,-0.014,0.11
