sectorCombo,marketCapDecile,BookValue,dividends,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY
"ENERGY & TRANSPORTATION,Consumer Discretionary",80-87% Market Cap[5bn - 10bn appx],"VERY HIGH BOOK VALUE 80-100% [24.74000,4093.80000]",NO DIVIDEND,"HIGHLY POS EPS, 89-100% [6.10980 , 441.99000]","VERY HIGH RPS 88-100% [59.50480, 9511.72000]","SLIGHT TO MOD POS PM, 48-70% [0.00000, 0.13000]","MODERATE POSITIVE OP.MARGIN, 67-95% [0.130000,0.500000]","MODERATE POSITIVE ROA, 76%-90% [0.048432,0.097400]","MODERATE POSITIVE ROE, 70%-92% [0.128000,0.838760]","LARGE EARNINGS DECREASE, 0-13% [-0.99900,-0.50000]","SLIGHT REVENUE INCREASE, 37-63% [0.002000,0.150000]"
"LIFE SCIENCES,Health Care",NA,"HIGH BOOK VALUE 50-80% [7.08000,24.74000]",HIGH DIV YIELD <0.03486667 - 1.38000000,"HIGHLY POS EPS, 89-100% [6.10980 , 441.99000]","HIGH RPS 69-88%[20.59160, 59.50480]","MODERATE TO HIGH POS PM, 70-86% [0.13000,0.255000]","MODERATE POSITIVE OP.MARGIN, 67-95% [0.130000,0.500000]","MODERATE POSITIVE ROA, 76%-90% [0.048432,0.097400]","HIGHLY POSITIVE ROE, 92%-100% [0.838760,1465.490000]","SLIGHT EARNINGS INCREASE, 67-79% [0.000294,0.250000]","SLIGHT REVENUE INCREASE, 37-63% [0.002000,0.150000]"
"TRADE & SERVICES,Health Care",Top 1% by Market Cap[>150bn appx],"LOW BOOK VALUE 1-20% [0.000,1.000]",LOW DIV YIELD <0.0002 - 0.0184>,"HIGHLY POS EPS, 89-100% [6.10980 , 441.99000]","VERY HIGH RPS 88-100% [59.50480, 9511.72000]","SLIGHT TO MOD POS PM, 48-70% [0.00000, 0.13000]","SLIGHT POSITIVE OP.MARGIN, 44-67% [0.002908,0.130000]","SLIGHT POSITIVE ROA, 40%-76% [0.000000,0.048432","MODERATE POSITIVE ROE, 70%-92% [0.128000,0.838760]","MODERATE EARNINGS DECREASE, 13-22% [-0.50000,-0.20096]","SLIGHT REVENUE INCREASE, 37-63% [0.002000,0.150000]"
"FINANCE,Finance",80-87% Market Cap[5bn - 10bn appx],"VERY HIGH BOOK VALUE 80-100% [24.74000,4093.80000]",LOW DIV YIELD <0.0002 - 0.0184>,"MODERATE POS EPS, 59-89% [1.0000 , 6.10980]","MODERATE RPS 26-69% [1.04600, 20.59160]","VERY HIGH POS PM, 86-100% [0.29880, 0.77754]","MODERATE POSITIVE OP.MARGIN, 67-95% [0.130000,0.500000]","SLIGHT POSITIVE ROA, 40%-76% [0.000000,0.048432","SLIGHT POSITIVE ROE, 49%-70% [0.001918,0.128000","SLIGHT EARNINGS INCREASE, 67-79% [0.000294,0.250000]","SLIGHT REVENUE INCREASE, 37-63% [0.002000,0.150000]"
"LIFE SCIENCES,Health Care",33-50% Market Cap[200-600 million appx],"MODERATE BOOK VALUE 20-50% [1.06966, 7.08000]",NO DIVIDEND,"HIGHLY POS EPS, 89-100% [6.10980 , 441.99000]","LOW RPS 12-26% RPS [0.0000, 1.04600]","ZERO PM, 26-48% [0.00000]","HIGHLY NEGATIVE OP.MARGIN, 0-6% [-1558.540000,-5.944000]","HIGHLY NEGATIVE ROA, 0-13% [-4.993000,-0.266000]","HIGHLY NEGATIVE ROE, 0-12% [-99999.990000,-0.968320]","NO CHANGE IN EARNINGS, 30-67% [0]","NO CHANGE IN REVENUE, 24-37% [0]"
"TRADE & SERVICES,Consumer Discretionary",80-87% Market Cap[5bn - 10bn appx],"VERY HIGH BOOK VALUE 80-100% [24.74000,4093.80000]",NO DIVIDEND,"HIGHLY POS EPS, 89-100% [6.10980 , 441.99000]","VERY HIGH RPS 88-100% [59.50480, 9511.72000]","SLIGHT TO MOD POS PM, 48-70% [0.00000, 0.13000]","SLIGHT POSITIVE OP.MARGIN, 44-67% [0.002908,0.130000]","HIGHLY POSITIVE ROA, 90%-100% [0.097400,11.490000]","MODERATE POSITIVE ROE, 70%-92% [0.128000,0.838760]","SLIGHT EARNINGS INCREASE, 67-79% [0.000294,0.250000]","MODERATE REVENUE INCREASE, 63-90% [0.150000,1.007000]"
"LIFE SCIENCES,Health Care",15-33% Market Cap[50-200 million appx],"MODERATE BOOK VALUE 20-50% [1.06966, 7.08000]",NO DIVIDEND,"MODERATE EPS LOSS,5-20% [-3.5230, -0.9172]","NEGATIVE RPS, 0-13%[-14.4500, 0.0000]","ZERO PM, 26-48% [0.00000]","ZERO OP.MARGIN, 32-44% [0]","MODERATE NEGATIVE ROA, 13-25% [-0.266000,-0.104000]","MODERATE NEGATIVE ROE, 12-33% [-0.968320,-0.151940]","NO CHANGE IN EARNINGS, 30-67% [0]","NO CHANGE IN REVENUE, 24-37% [0]"
"TRADE & SERVICES,Consumer Discretionary",80-87% Market Cap[5bn - 10bn appx],"VERY HIGH BOOK VALUE 80-100% [24.74000,4093.80000]",LOW DIV YIELD <0.0002 - 0.0184>,"MODERATE POS EPS, 59-89% [1.0000 , 6.10980]","VERY HIGH RPS 88-100% [59.50480, 9511.72000]","SLIGHT TO MOD POS PM, 48-70% [0.00000, 0.13000]","SLIGHT POSITIVE OP.MARGIN, 44-67% [0.002908,0.130000]","MODERATE POSITIVE ROA, 76%-90% [0.048432,0.097400]","MODERATE POSITIVE ROE, 70%-92% [0.128000,0.838760]","MODERATE EARNINGS INCREASE, 79-90% [0.250000,1.000000]","MODERATE REVENUE INCREASE, 63-90% [0.150000,1.007000]"
"LIFE SCIENCES,Health Care",94-99% Market Cap[30bn - 150bn appx],"VERY HIGH BOOK VALUE 80-100% [24.74000,4093.80000]",NO DIVIDEND,"MODERATE POS EPS, 59-89% [1.0000 , 6.10980]","HIGH RPS 69-88%[20.59160, 59.50480]","MODERATE TO HIGH POS PM, 70-86% [0.13000,0.255000]","MODERATE POSITIVE OP.MARGIN, 67-95% [0.130000,0.500000]","MODERATE POSITIVE ROA, 76%-90% [0.048432,0.097400]","MODERATE POSITIVE ROE, 70%-92% [0.128000,0.838760]","MODERATE EARNINGS INCREASE, 79-90% [0.250000,1.000000]","SLIGHT REVENUE INCREASE, 37-63% [0.002000,0.150000]"
"TRADE & SERVICES,Consumer Discretionary",Top 1% by Market Cap[>150bn appx],"HIGH BOOK VALUE 50-80% [7.08000,24.74000]",NO DIVIDEND,"MODERATE POS EPS, 59-89% [1.0000 , 6.10980]","MODERATE RPS 26-69% [1.04600, 20.59160]","MODERATE TO HIGH POS PM, 70-86% [0.13000,0.255000]","MODERATE POSITIVE OP.MARGIN, 67-95% [0.130000,0.500000]","MODERATE POSITIVE ROA, 76%-90% [0.048432,0.097400]","MODERATE POSITIVE ROE, 70%-92% [0.128000,0.838760]","MODERATE EARNINGS INCREASE, 79-90% [0.250000,1.000000]","MODERATE REVENUE INCREASE, 63-90% [0.150000,1.007000]"
"LIFE SCIENCES,Health Care",50-63% Market Cap[600m - 1.5bn appx,"MODERATE BOOK VALUE 20-50% [1.06966, 7.08000]",NO DIVIDEND,"MODERATE POS EPS, 59-89% [1.0000 , 6.10980]","LOW RPS 12-26% RPS [0.0000, 1.04600]","ZERO PM, 26-48% [0.00000]","ZERO OP.MARGIN, 32-44% [0]","MODERATE NEGATIVE ROA, 13-25% [-0.266000,-0.104000]","MODERATE NEGATIVE ROE, 12-33% [-0.968320,-0.151940]","NO CHANGE IN EARNINGS, 30-67% [0]","NO CHANGE IN REVENUE, 24-37% [0]"
"REAL ESTATE & CONSTRUCTION,Real Estate",80-87% Market Cap[5bn - 10bn appx],"HIGH BOOK VALUE 50-80% [7.08000,24.74000]",HIGH DIV YIELD <0.03486667 - 1.38000000,"MODERATE POS EPS, 59-89% [1.0000 , 6.10980]","MODERATE RPS 26-69% [1.04600, 20.59160]","VERY HIGH POS PM, 86-100% [0.29880, 0.77754]","HIGHLY POSITIVE OP.MARGIN, 95-100% [0.500000,102910.000000]","SLIGHT POSITIVE ROA, 40%-76% [0.000000,0.048432","HIGHLY POSITIVE ROE, 92%-100% [0.838760,1465.490000]","MODERATE EARNINGS DECREASE, 13-22% [-0.50000,-0.20096]","MODERATE REVENUE DECREASE, 8-17% [-0.200000,-0.050000]"
"TRADE & SERVICES,Health Care",50-63% Market Cap[600m - 1.5bn appx,"MODERATE BOOK VALUE 20-50% [1.06966, 7.08000]",NO DIVIDEND,"MODERATE EPS LOSS,5-20% [-3.5230, -0.9172]","LOW RPS 12-26% RPS [0.0000, 1.04600]","ZERO PM, 26-48% [0.00000]","HIGHLY NEGATIVE OP.MARGIN, 0-6% [-1558.540000,-5.944000]","MODERATE NEGATIVE ROA, 13-25% [-0.266000,-0.104000]","MODERATE NEGATIVE ROE, 12-33% [-0.968320,-0.151940]","NO CHANGE IN EARNINGS, 30-67% [0]","MODERATE REVENUE INCREASE, 63-90% [0.150000,1.007000]"
"LIFE SCIENCES,Health Care",NA,"HIGH BOOK VALUE 50-80% [7.08000,24.74000]",LOW DIV YIELD <0.0002 - 0.0184>,"MODERATE POS EPS, 59-89% [1.0000 , 6.10980]","HIGH RPS 69-88%[20.59160, 59.50480]","MODERATE TO HIGH POS PM, 70-86% [0.13000,0.255000]","MODERATE POSITIVE OP.MARGIN, 67-95% [0.130000,0.500000]","MODERATE POSITIVE ROA, 76%-90% [0.048432,0.097400]","MODERATE POSITIVE ROE, 70%-92% [0.128000,0.838760]","MODERATE EARNINGS DECREASE, 13-22% [-0.50000,-0.20096]","SLIGHT REVENUE DECREASE, 17-24% [-0.050000,0.00000]"
"LIFE SCIENCES,Health Care",Bottom 15% by Market Cap[<50 million appx],"LOW BOOK VALUE 1-20% [0.000,1.000]",NO DIVIDEND,"SLIGHT EPS LOSS, 20% - 37% [-0.9172 , -0.003376]","LOW RPS 12-26% RPS [0.0000, 1.04600]","ZERO PM, 26-48% [0.00000]","HIGHLY NEGATIVE OP.MARGIN, 0-6% [-1558.540000,-5.944000]","HIGHLY NEGATIVE ROA, 0-13% [-4.993000,-0.266000]","HIGHLY NEGATIVE ROE, 0-12% [-99999.990000,-0.968320]","NO CHANGE IN EARNINGS, 30-67% [0]","LARGE REVENUE DECREASE, 0-8% [-1.000000,-0.200000]"
"FINANCE,Finance",63-80% Market Cap[1.5 - 5bn appx],"VERY HIGH BOOK VALUE 80-100% [24.74000,4093.80000]",LOW DIV YIELD <0.0002 - 0.0184>,"MODERATE EPS LOSS,5-20% [-3.5230, -0.9172]","LOW RPS 12-26% RPS [0.0000, 1.04600]","MODERATE TO HIGH NEG PM 0-10% [-2.97400, -0.361400]","MODERATE NEGATIVE OP.MARGIN, 6-20% [-5.944000,-0.241600]","SLIGHT NEGATIVE ROA, 25-40% [-0.104000,0.000000]","HIGHLY NEGATIVE ROE, 0-12% [-99999.990000,-0.968320]","LARGE EARNINGS DECREASE, 0-13% [-0.99900,-0.50000]","MODERATE REVENUE INCREASE, 63-90% [0.150000,1.007000]"
"REAL ESTATE & CONSTRUCTION,Industrials",50-63% Market Cap[600m - 1.5bn appx,"LOW BOOK VALUE 1-20% [0.000,1.000]",NO DIVIDEND,"ZERO OR SLIGHT POS EPS , 37-59% [0.0000, 1.0000]","NEGATIVE RPS, 0-13%[-14.4500, 0.0000]","ZERO PM, 26-48% [0.00000]","ZERO OP.MARGIN, 32-44% [0]",ZERO ROA 40-45% [0],ZERO ROE 41-49% [0],"NO CHANGE IN EARNINGS, 30-67% [0]","NO CHANGE IN REVENUE, 24-37% [0]"
"REAL ESTATE & CONSTRUCTION,Industrials",33-50% Market Cap[200-600 million appx],"LOW BOOK VALUE 1-20% [0.000,1.000]",NO DIVIDEND,"ZERO OR SLIGHT POS EPS , 37-59% [0.0000, 1.0000]","NEGATIVE RPS, 0-13%[-14.4500, 0.0000]","ZERO PM, 26-48% [0.00000]","ZERO OP.MARGIN, 32-44% [0]",ZERO ROA 40-45% [0],ZERO ROE 41-49% [0],"NO CHANGE IN EARNINGS, 30-67% [0]","NO CHANGE IN REVENUE, 24-37% [0]"
"LIFE SCIENCES,Health Care",80-87% Market Cap[5bn - 10bn appx],"MODERATE BOOK VALUE 20-50% [1.06966, 7.08000]",NO DIVIDEND,"MODERATE EPS LOSS,5-20% [-3.5230, -0.9172]","MODERATE RPS 26-69% [1.04600, 20.59160]","MODERATE TO HIGH NEG PM 0-10% [-2.97400, -0.361400]","MODERATE NEGATIVE OP.MARGIN, 6-20% [-5.944000,-0.241600]","MODERATE NEGATIVE ROA, 13-25% [-0.266000,-0.104000]","MODERATE NEGATIVE ROE, 12-33% [-0.968320,-0.151940]","NO CHANGE IN EARNINGS, 30-67% [0]","SLIGHT REVENUE DECREASE, 17-24% [-0.050000,0.00000]"
"REAL ESTATE & CONSTRUCTION,Industrials",50-63% Market Cap[600m - 1.5bn appx,"LOW BOOK VALUE 1-20% [0.000,1.000]",NO DIVIDEND,"ZERO OR SLIGHT POS EPS , 37-59% [0.0000, 1.0000]","NEGATIVE RPS, 0-13%[-14.4500, 0.0000]","ZERO PM, 26-48% [0.00000]","ZERO OP.MARGIN, 32-44% [0]","SLIGHT NEGATIVE ROA, 25-40% [-0.104000,0.000000]",ZERO ROE 41-49% [0],"MODERATE EARNINGS DECREASE, 13-22% [-0.50000,-0.20096]","NO CHANGE IN REVENUE, 24-37% [0]"
"REAL ESTATE & CONSTRUCTION,Industrials",33-50% Market Cap[200-600 million appx],"LOW BOOK VALUE 1-20% [0.000,1.000]",NO DIVIDEND,"ZERO OR SLIGHT POS EPS , 37-59% [0.0000, 1.0000]","NEGATIVE RPS, 0-13%[-14.4500, 0.0000]","ZERO PM, 26-48% [0.00000]","ZERO OP.MARGIN, 32-44% [0]",ZERO ROA 40-45% [0],ZERO ROE 41-49% [0],"NO CHANGE IN EARNINGS, 30-67% [0]","NO CHANGE IN REVENUE, 24-37% [0]"
"TRADE & SERVICES,Technology",63-80% Market Cap[1.5 - 5bn appx],"MODERATE BOOK VALUE 20-50% [1.06966, 7.08000]",NO DIVIDEND,"MODERATE EPS LOSS,5-20% [-3.5230, -0.9172]","MODERATE RPS 26-69% [1.04600, 20.59160]","MODERATE TO HIGH NEG PM 0-10% [-2.97400, -0.361400]","MODERATE NEGATIVE OP.MARGIN, 6-20% [-5.944000,-0.241600]","SLIGHT NEGATIVE ROA, 25-40% [-0.104000,0.000000]","MODERATE NEGATIVE ROE, 12-33% [-0.968320,-0.151940]","NO CHANGE IN EARNINGS, 30-67% [0]","MODERATE REVENUE INCREASE, 63-90% [0.150000,1.007000]"
"MANUFACTURING,Consumer Discretionary",50-63% Market Cap[600m - 1.5bn appx,"HIGH BOOK VALUE 50-80% [7.08000,24.74000]",HIGH DIV YIELD <0.03486667 - 1.38000000,"ZERO OR SLIGHT POS EPS , 37-59% [0.0000, 1.0000]","HIGH RPS 69-88%[20.59160, 59.50480]","SLIGHT TO MOD POS PM, 48-70% [0.00000, 0.13000]","SLIGHT POSITIVE OP.MARGIN, 44-67% [0.002908,0.130000]","SLIGHT POSITIVE ROA, 40%-76% [0.000000,0.048432","SLIGHT POSITIVE ROE, 49%-70% [0.001918,0.128000","MODERATE EARNINGS DECREASE, 13-22% [-0.50000,-0.20096]","MODERATE REVENUE DECREASE, 8-17% [-0.200000,-0.050000]"
"LIFE SCIENCES,Health Care",Bottom 15% by Market Cap[<50 million appx],"LOW BOOK VALUE 1-20% [0.000,1.000]",NO DIVIDEND,"MODERATE EPS LOSS,5-20% [-3.5230, -0.9172]","LOW RPS 12-26% RPS [0.0000, 1.04600]","ZERO PM, 26-48% [0.00000]","HIGHLY NEGATIVE OP.MARGIN, 0-6% [-1558.540000,-5.944000]","HIGHLY NEGATIVE ROA, 0-13% [-4.993000,-0.266000]","HIGHLY NEGATIVE ROE, 0-12% [-99999.990000,-0.968320]","NO CHANGE IN EARNINGS, 30-67% [0]","NO CHANGE IN REVENUE, 24-37% [0]"
"LIFE SCIENCES,Health Care",63-80% Market Cap[1.5 - 5bn appx],"HIGH BOOK VALUE 50-80% [7.08000,24.74000]",NO DIVIDEND,"MODERATE EPS LOSS,5-20% [-3.5230, -0.9172]","LOW RPS 12-26% RPS [0.0000, 1.04600]","MODERATE TO HIGH NEG PM 0-10% [-2.97400, -0.361400]","MODERATE NEGATIVE OP.MARGIN, 6-20% [-5.944000,-0.241600]","MODERATE NEGATIVE ROA, 13-25% [-0.266000,-0.104000]","MODERATE NEGATIVE ROE, 12-33% [-0.968320,-0.151940]","NO CHANGE IN EARNINGS, 30-67% [0]","SLIGHT REVENUE INCREASE, 37-63% [0.002000,0.150000]"
"LIFE SCIENCES,Health Care",87-94% Market Cap[10bn - 30bn appx],"VERY HIGH BOOK VALUE 80-100% [24.74000,4093.80000]",NO DIVIDEND,"MODERATE POS EPS, 59-89% [1.0000 , 6.10980]","HIGH RPS 69-88%[20.59160, 59.50480]","MODERATE TO HIGH POS PM, 70-86% [0.13000,0.255000]","MODERATE POSITIVE OP.MARGIN, 67-95% [0.130000,0.500000]","MODERATE POSITIVE ROA, 76%-90% [0.048432,0.097400]","SLIGHT POSITIVE ROE, 49%-70% [0.001918,0.128000","SLIGHT EARNINGS INCREASE, 67-79% [0.000294,0.250000]","SLIGHT REVENUE INCREASE, 37-63% [0.002000,0.150000]"
"REAL ESTATE & CONSTRUCTION,Industrials",50-63% Market Cap[600m - 1.5bn appx,"MODERATE BOOK VALUE 20-50% [1.06966, 7.08000]",NO DIVIDEND,"ZERO OR SLIGHT POS EPS , 37-59% [0.0000, 1.0000]","NEGATIVE RPS, 0-13%[-14.4500, 0.0000]","ZERO PM, 26-48% [0.00000]","ZERO OP.MARGIN, 32-44% [0]","MODERATE NEGATIVE ROA, 13-25% [-0.266000,-0.104000]","MODERATE NEGATIVE ROE, 12-33% [-0.968320,-0.151940]","NO CHANGE IN EARNINGS, 30-67% [0]","NO CHANGE IN REVENUE, 24-37% [0]"
"TRADE & SERVICES,Consumer Staples",94-99% Market Cap[30bn - 150bn appx],"HIGH BOOK VALUE 50-80% [7.08000,24.74000]",MEDIUM DIV YIELD <0.01840000 - 0.03486667>,"MODERATE POS EPS, 59-89% [1.0000 , 6.10980]","VERY HIGH RPS 88-100% [59.50480, 9511.72000]","SLIGHT TO MOD POS PM, 48-70% [0.00000, 0.13000]","SLIGHT POSITIVE OP.MARGIN, 44-67% [0.002908,0.130000]","MODERATE POSITIVE ROA, 76%-90% [0.048432,0.097400]","HIGHLY POSITIVE ROE, 92%-100% [0.838760,1465.490000]","SLIGHT EARNINGS INCREASE, 67-79% [0.000294,0.250000]","SLIGHT REVENUE INCREASE, 37-63% [0.002000,0.150000]"
"TECHNOLOGY,Technology",80-87% Market Cap[5bn - 10bn appx],"HIGH BOOK VALUE 50-80% [7.08000,24.74000]",NO DIVIDEND,"MODERATE POS EPS, 59-89% [1.0000 , 6.10980]","MODERATE RPS 26-69% [1.04600, 20.59160]","MODERATE TO HIGH POS PM, 70-86% [0.13000,0.255000]","MODERATE POSITIVE OP.MARGIN, 67-95% [0.130000,0.500000]","SLIGHT POSITIVE ROA, 40%-76% [0.000000,0.048432","MODERATE POSITIVE ROE, 70%-92% [0.128000,0.838760]","MODERATE EARNINGS INCREASE, 79-90% [0.250000,1.000000]","SLIGHT REVENUE DECREASE, 17-24% [-0.050000,0.00000]"
"TECHNOLOGY,Technology",80-87% Market Cap[5bn - 10bn appx],"HIGH BOOK VALUE 50-80% [7.08000,24.74000]",NO DIVIDEND,"MODERATE POS EPS, 59-89% [1.0000 , 6.10980]","HIGH RPS 69-88%[20.59160, 59.50480]","MODERATE TO HIGH POS PM, 70-86% [0.13000,0.255000]","MODERATE POSITIVE OP.MARGIN, 67-95% [0.130000,0.500000]","HIGHLY POSITIVE ROA, 90%-100% [0.097400,11.490000]","HIGHLY POSITIVE ROE, 92%-100% [0.838760,1465.490000]","MODERATE EARNINGS INCREASE, 79-90% [0.250000,1.000000]","MODERATE REVENUE INCREASE, 63-90% [0.150000,1.007000]"
"LIFE SCIENCES,Health Care",63-80% Market Cap[1.5 - 5bn appx],"MODERATE BOOK VALUE 20-50% [1.06966, 7.08000]",NO DIVIDEND,"HIGH EPS LOSS,0-5% [-201.8000, -3.5230]","NEGATIVE RPS, 0-13%[-14.4500, 0.0000]","ZERO PM, 26-48% [0.00000]","ZERO OP.MARGIN, 32-44% [0]","HIGHLY NEGATIVE ROA, 0-13% [-4.993000,-0.266000]","MODERATE NEGATIVE ROE, 12-33% [-0.968320,-0.151940]","NO CHANGE IN EARNINGS, 30-67% [0]","NO CHANGE IN REVENUE, 24-37% [0]"
